concept,count,total_marks,min_qs,median_qs,max_qs,min_marks,median_marks,max_marks,min_marks_papers,max_marks_papers
protocols,4,12,0,0,1,0,0,6,May 2014; May 2015; May 2016; May 2017; May 2018; May 2021; May 2022; May 2023; May 2024; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2020; Nov 2021; Nov 2022; Nov 2023,Nov 2024
features,4,9,0,0,2,0,0,4,May 2014; May 2016; May 2017; May 2018; May 2019; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2023,Nov 2024
FIFO,4,12,0,0,2,0,0,5,May 2014; May 2016; May 2017; May 2019; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2023; Nov 2024,May 2015; May 2021
comparison,4,12,0,0,1,0,0,5,May 2014; May 2016; May 2017; May 2019; May 2021; May 2022; May 2023; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2020; Nov 2022; Nov 2023; Nov 2024,May 2015
pop,4,19,0,0,1,0,0,6,May 2014; May 2016; May 2018; May 2019; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2020; Nov 2021; Nov 2022; Nov 2023,May 2017; Nov 2019
selection sort,4,16,0,0,1,0,0,6,May 2014; May 2016; May 2017; May 2018; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2019; Nov 2020; Nov 2022; Nov 2023; Nov 2024,Nov 2018
network,4,10,0,0,1,0,0,3,May 2014; May 2016; May 2017; May 2018; May 2019; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2022; Nov 2023; Nov 2024,May 2015; Nov 2020; Nov 2021
data loss prevention,4,11,0,0,1,0,0,4,May 2014; May 2017; May 2018; May 2019; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2020; Nov 2022; Nov 2023; Nov 2024,Nov 2021
MDR,4,7,0,0,1,0,0,2,May 2014; May 2015; May 2016; May 2017; May 2019; May 2021; May 2022; May 2023; Nov 2014; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2023,May 2018; May 2024; Nov 2015
functions,4,9,0,0,1,0,0,3,May 2014; May 2015; May 2016; May 2017; May 2018; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2016; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2024,Nov 2023
ethics,4,16,0,0,1,0,0,6,May 2014; May 2015; May 2017; May 2018; May 2019; May 2021; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2017; Nov 2018; Nov 2019; Nov 2021; Nov 2022; Nov 2023; Nov 2024,Nov 2020
parallel running,4,13,0,0,1,0,0,4,May 2014; May 2015; May 2017; May 2018; May 2019; May 2021; May 2022; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2021; Nov 2023; Nov 2024,Nov 2020
logic gates,4,11,0,0,1,0,0,3,May 2014; May 2015; May 2017; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2023; Nov 2024,May 2016; May 2018; May 2019
multitasking,4,13,0,0,1,0,0,4,May 2014; May 2015; May 2018; May 2019; May 2021; May 2023; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2023; Nov 2024,May 2016; May 2024
cache memory,4,9,0,0,1,0,0,3,May 2014; May 2015; May 2016; May 2018; May 2019; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2017; Nov 2018; Nov 2020; Nov 2021; Nov 2023; Nov 2024,Nov 2019; Nov 2022
wireless networks,4,12,0,0,2,0,0,4,May 2014; May 2015; May 2016; May 2017; May 2018; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2023; Nov 2024,May 2019; Nov 2016; Nov 2017
purpose,4,7,0,0,2,0,0,4,May 2014; May 2015; May 2016; May 2017; May 2018; May 2019; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2017; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2024,Nov 2023
user documentation,4,7,0,0,1,0,0,3,May 2014; May 2015; May 2016; May 2017; May 2018; May 2019; May 2021; May 2024; Nov 2014; Nov 2015; Nov 2017; Nov 2018; Nov 2019; Nov 2021; Nov 2022; Nov 2023; Nov 2024,May 2023
sub-programmes,4,19,0,0,2,0,0,13,May 2014; May 2015; May 2016; May 2017; May 2018; May 2019; May 2021; May 2022; May 2023; Nov 2014; Nov 2015; Nov 2017; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2023; Nov 2024,May 2024
output,4,19,0,0,1,0,0,6,May 2014; May 2015; May 2016; May 2018; May 2021; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2023,May 2017; May 2022
installation,4,14,0,0,2,0,0,6,May 2014; May 2015; May 2016; May 2017; May 2018; May 2019; May 2021; May 2022; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2018; Nov 2020; Nov 2021; Nov 2022; Nov 2023; Nov 2024,Nov 2017
direct changeover,4,16,0,0,1,0,0,5,May 2014; May 2015; May 2016; May 2017; May 2018; May 2019; May 2021; May 2022; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2018; Nov 2021; Nov 2022; Nov 2023; Nov 2024,Nov 2019
packet switching,4,19,0,0,1,0,0,6,May 2014; May 2015; May 2016; May 2017; May 2018; May 2019; May 2021; May 2022; May 2023; Nov 2014; Nov 2015; Nov 2016; Nov 2019; Nov 2020; Nov 2021; Nov 2023; Nov 2024,Nov 2017
networked world,4,8,0,0,2,0,0,4,May 2014; May 2015; May 2016; May 2017; May 2018; May 2019; May 2022; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2023; Nov 2024,May 2023
social and ethical issues,4,16,0,0,1,0,0,6,May 2014; May 2015; May 2016; May 2017; May 2019; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2019; Nov 2021; Nov 2023; Nov 2024,May 2018; Nov 2020
data structures,4,12,0,0,1,0,0,3,May 2014; May 2015; May 2016; May 2017; May 2019; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2020; Nov 2021; Nov 2022; Nov 2024,May 2018; Nov 2018; Nov 2019; Nov 2023
binary representation,4,6,0,0,1,0,0,2,May 2014; May 2015; May 2016; May 2017; May 2019; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2019; Nov 2020; Nov 2021; Nov 2023,May 2018; Nov 2024
isEmpty,4,12,0,0,1,0,0,6,May 2014; May 2015; May 2016; May 2017; May 2018; May 2019; May 2021; May 2022; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2021; Nov 2022; Nov 2023; Nov 2024,Nov 2019
registers,4,7,0,0,1,0,0,2,May 2014; May 2015; May 2016; May 2017; May 2018; May 2021; May 2022; May 2023; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2021; Nov 2022; Nov 2023,May 2019; May 2024; Nov 2020
implementation,4,10,0,0,1,0,0,3,May 2014; May 2015; May 2016; May 2017; May 2018; May 2019; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2020; Nov 2022; Nov 2024,Nov 2021; Nov 2023
5.1.9,4,8,0,0,4,0,0,8,May 2014; May 2015; May 2016; May 2017; May 2018; May 2019; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2021; Nov 2022; Nov 2023; Nov 2024,Nov 2020
resources,4,8,0,0,2,0,0,4,May 2014; May 2015; May 2016; May 2017; May 2018; May 2019; May 2022; May 2023; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2023; Nov 2024,May 2021; May 2024
denary,4,7,0,0,2,0,0,4,May 2014; May 2015; May 2016; May 2017; May 2018; May 2019; May 2023; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2023; Nov 2024,May 2022
traversal,4,17,0,0,1,0,0,6,May 2014; May 2015; May 2016; May 2017; May 2018; May 2019; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2020,Nov 2022
structure,4,9,0,0,2,0,0,6,May 2014; May 2015; May 2016; May 2017; May 2018; May 2019; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2020; Nov 2022,Nov 2024
autonomous agents,3,8,0,0,1,0,0,4,May 2015; May 2016; May 2018; May 2019; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2021; Nov 2022; Nov 2023; Nov 2024,May 2014
software,3,6,0,0,1,0,0,4,May 2015; May 2016; May 2017; May 2018; May 2021; May 2022; May 2023; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2023; Nov 2024,May 2014
benefits,3,9,0,0,1,0,0,4,May 2015; May 2016; May 2017; May 2018; May 2019; May 2021; May 2022; May 2023; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2023; Nov 2024,May 2014
networks,3,6,0,0,2,0,0,4,May 2015; May 2016; May 2017; May 2018; May 2019; May 2021; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2023; Nov 2024,May 2014
counting,3,9,0,0,1,0,0,4,May 2015; May 2016; May 2017; May 2018; May 2019; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2022,Nov 2023; Nov 2024
ROM,3,7,0,0,1,0,0,3,May 2015; May 2016; May 2017; May 2018; May 2019; May 2021; May 2022; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2023; Nov 2024,Nov 2018
causes of data loss,3,6,0,0,1,0,0,3,May 2014; May 2015; May 2016; May 2018; May 2019; May 2021; May 2022; May 2023; May 2024; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2024,Nov 2014
Gantt chart,3,6,0,0,2,0,0,4,May 2014; May 2015; May 2016; May 2017; May 2019; May 2021; May 2022; May 2023; May 2024; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2023; Nov 2024,Nov 2014
tracing,3,11,0,0,1,0,0,5,May 2014; May 2015; May 2016; May 2017; May 2018; May 2022; May 2023; May 2024; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2023; Nov 2024,May 2019
data,3,7,0,0,1,0,0,4,May 2014; May 2016; May 2017; May 2018; May 2019; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2019; Nov 2020; Nov 2022; Nov 2023; Nov 2024,Nov 2021
procedure,3,16,0,0,2,0,0,11,May 2014; May 2016; May 2017; May 2019; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2023; Nov 2024,May 2018
mod,3,10,0,0,2,0,0,7,May 2014; May 2016; May 2017; May 2019; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2023; Nov 2024,May 2015
div,3,10,0,0,2,0,0,7,May 2014; May 2016; May 2017; May 2019; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2023; Nov 2024,May 2015
social implications,3,9,0,0,1,0,0,3,May 2014; May 2017; May 2018; May 2019; May 2021; May 2022; May 2023; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2023; Nov 2024,May 2015; May 2016; May 2024
LIFO,3,7,0,0,1,0,0,3,May 2014; May 2016; May 2018; May 2019; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2023; Nov 2024,May 2021
push,3,13,0,0,1,0,0,6,May 2014; May 2016; May 2017; May 2018; May 2019; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2020; Nov 2021; Nov 2022; Nov 2023,Nov 2019
recursive algorithm,3,13,0,0,1,0,0,6,May 2014; May 2016; May 2017; May 2018; May 2019; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2021; Nov 2022; Nov 2023,May 2015
sorting algorithm,3,5,0,0,1,0,0,3,May 2014; May 2017; May 2018; May 2019; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2023; Nov 2024,May 2015
word processor,3,9,0,0,1,0,0,4,May 2014; May 2016; May 2017; May 2018; May 2019; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2021; Nov 2022; Nov 2024,May 2015
data security,3,6,0,0,1,0,0,3,May 2014; May 2017; May 2018; May 2019; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2023,May 2015
logic error,3,5,0,0,2,0,0,3,May 2014; May 2015; May 2016; May 2017; May 2018; May 2019; May 2022; May 2023; May 2024; Nov 2014; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2023; Nov 2024,May 2021
end-user,3,7,0,0,1,0,0,3,May 2014; May 2015; May 2016; May 2017; May 2018; May 2021; May 2023; May 2024; Nov 2014; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2023; Nov 2024,Nov 2015
prototype,3,7,0,0,1,0,0,3,May 2014; May 2015; May 2017; May 2019; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2023; Nov 2024,May 2016
MAR,3,6,0,0,1,0,0,2,May 2014; May 2015; May 2016; May 2017; May 2018; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2021; Nov 2022; Nov 2023; Nov 2024,May 2019; Nov 2015; Nov 2020
memory data register,3,5,0,0,1,0,0,2,May 2014; May 2015; May 2016; May 2017; May 2019; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2023,May 2018; Nov 2015
social impacts,3,12,0,0,1,0,0,6,May 2014; May 2015; May 2016; May 2017; May 2018; May 2019; May 2021; May 2022; May 2024; Nov 2014; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2024,Nov 2015
direct observation,3,5,0,0,2,0,0,3,May 2014; May 2015; May 2017; May 2018; May 2019; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2023; Nov 2024,May 2016
encryption,3,9,0,0,1,0,0,4,May 2014; May 2015; May 2017; May 2018; May 2019; May 2021; May 2022; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2023; Nov 2024,May 2016
authentication,3,8,0,0,2,0,0,4,May 2014; May 2015; May 2017; May 2018; May 2019; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2021; Nov 2022; Nov 2023; Nov 2024,May 2016; Nov 2020
searching,3,13,0,0,1,0,0,5,May 2014; May 2015; May 2017; May 2019; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2023,May 2016; Nov 2024
Fibonacci,3,12,0,0,3,0,0,12,May 2014; May 2015; May 2017; May 2018; May 2019; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2023; Nov 2024,May 2016
digital devices,3,7,0,0,1,0,0,3,May 2014; May 2015; May 2016; May 2017; May 2018; May 2021; May 2022; May 2023; Nov 2014; Nov 2015; Nov 2017; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2023; Nov 2024,Nov 2016
dynamic data structures,3,11,0,0,1,0,0,4,May 2014; May 2015; May 2016; May 2017; May 2018; May 2019; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2017; Nov 2018; Nov 2019; Nov 2020; Nov 2022; Nov 2023,Nov 2021; Nov 2024
trace algorithm,3,5,0,0,2,0,0,4,May 2014; May 2015; May 2016; May 2017; May 2018; May 2019; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2023; Nov 2024,Nov 2017
leaf,3,5,0,0,1,0,0,3,May 2014; May 2015; May 2016; May 2017; May 2018; May 2019; May 2021; May 2022; May 2023; Nov 2014; Nov 2015; Nov 2017; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2023; Nov 2024,Nov 2022
peripheral,3,4,0,0,1,0,0,2,May 2014; May 2015; May 2016; May 2017; May 2018; May 2021; May 2022; May 2023; Nov 2014; Nov 2015; Nov 2017; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2023; Nov 2024,Nov 2016
translation,3,6,0,0,1,0,0,2,May 2014; May 2015; May 2016; May 2017; May 2018; May 2019; May 2021; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2017; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2023; Nov 2024,May 2022; Nov 2016; Nov 2022
loops,3,15,0,0,1,0,0,7,May 2014; May 2015; May 2016; May 2017; May 2019; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2023; Nov 2024,May 2018
collections,3,10,0,0,1,0,0,5,May 2014; May 2015; May 2016; May 2018; May 2019; May 2021; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2017; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2023; Nov 2024,May 2022
definition,3,3,0,0,2,0,0,2,May 2014; May 2015; May 2016; May 2019; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2023; Nov 2024,May 2018
change management,3,10,0,0,1,0,0,4,May 2014; May 2015; May 2016; May 2018; May 2019; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2023,May 2017; Nov 2022
training,3,8,0,0,2,0,0,4,May 2014; May 2015; May 2016; May 2018; May 2019; May 2021; May 2022; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2023; Nov 2024,May 2017; May 2023
enqueue,3,11,0,0,1,0,0,6,May 2014; May 2015; May 2016; May 2018; May 2019; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2021; Nov 2022; Nov 2023,May 2017
doubly linked list,3,12,0,0,1,0,0,6,May 2014; May 2015; May 2016; May 2018; May 2019; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2018; Nov 2020; Nov 2021; Nov 2022; Nov 2023; Nov 2024,Nov 2017
node,3,8,0,0,1,0,0,3,May 2014; May 2015; May 2016; May 2018; May 2019; May 2021; May 2022; May 2023; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2023; Nov 2024,May 2017; Nov 2022
standard algorithm,3,12,0,0,1,0,0,6,May 2014; May 2015; May 2016; May 2017; May 2018; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2023; Nov 2024,Nov 2017
hardware components,3,9,0,0,1,0,0,4,May 2014; May 2015; May 2016; May 2017; May 2019; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2023; Nov 2024,May 2018; May 2021
input devices,3,8,0,0,1,0,0,4,May 2014; May 2015; May 2016; May 2017; May 2018; May 2019; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2018; Nov 2019; Nov 2021; Nov 2022; Nov 2024,Nov 2020
data bus,3,10,0,0,1,0,0,4,May 2014; May 2015; May 2016; May 2017; May 2018; May 2019; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2023,Nov 2018; Nov 2024
address bus,3,10,0,0,1,0,0,4,May 2014; May 2015; May 2016; May 2017; May 2018; May 2019; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2023,Nov 2018; Nov 2024
types of testing,3,7,0,0,1,0,0,3,May 2014; May 2015; May 2016; May 2017; May 2018; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2023,May 2019
suitable structure,3,6,0,0,1,0,0,3,May 2014; May 2015; May 2016; May 2017; May 2018; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2024,Nov 2023
variables,3,4,0,0,1,0,0,2,May 2014; May 2015; May 2016; May 2017; May 2018; May 2019; May 2021; May 2022; May 2023; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2023,May 2024
parameters,3,7,0,0,2,0,0,4,May 2014; May 2015; May 2016; May 2017; May 2018; May 2019; May 2021; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2023; Nov 2024,May 2022
bandwidth,3,8,0,0,1,0,0,4,May 2014; May 2015; May 2016; May 2017; May 2018; May 2019; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2019; Nov 2021; Nov 2023; Nov 2024,Nov 2020
obtaining requirements,3,3,0,0,2,0,0,2,May 2014; May 2015; May 2016; May 2017; May 2018; May 2019; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2024,Nov 2018
new IT systems,3,9,0,0,1,0,0,4,May 2014; May 2015; May 2016; May 2017; May 2018; May 2019; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2020; Nov 2021; Nov 2022; Nov 2024,Nov 2019
modularity,3,8,0,0,1,0,0,4,May 2014; May 2015; May 2016; May 2017; May 2018; May 2019; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2023,Nov 2018
dedicated operating system,3,6,0,0,1,0,0,3,May 2014; May 2015; May 2016; May 2017; May 2018; May 2022; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2023; Nov 2024,May 2019
distributed,3,12,0,0,1,0,0,5,May 2014; May 2015; May 2016; May 2017; May 2018; May 2021; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2023; Nov 2024,May 2022
centralized,3,12,0,0,1,0,0,5,May 2014; May 2015; May 2016; May 2017; May 2018; May 2021; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2020; Nov 2021; Nov 2022; Nov 2023; Nov 2024,May 2022
root,3,8,0,0,1,0,0,3,May 2014; May 2015; May 2016; May 2017; May 2018; May 2019; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2020; Nov 2023; Nov 2024,Nov 2019; Nov 2022
ethical issues,3,11,0,0,1,0,0,4,May 2014; May 2015; May 2016; May 2017; May 2018; May 2019; May 2021; May 2022; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2020; Nov 2021; Nov 2022; Nov 2024,May 2023; Nov 2019
memory,3,8,0,0,1,0,0,4,May 2014; May 2015; May 2016; May 2017; May 2018; May 2019; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2021; Nov 2022; Nov 2024,Nov 2020
3.1.15,3,8,0,0,3,0,0,8,May 2014; May 2015; May 2016; May 2017; May 2018; May 2019; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2021; Nov 2022; Nov 2023; Nov 2024,Nov 2020
5.1.5,3,12,0,0,3,0,0,12,May 2014; May 2015; May 2016; May 2017; May 2018; May 2019; May 2021; May 2022; May 2023; May 2024; Nov 2014; Nov 2015; Nov 2016; Nov 2017; Nov 2018; Nov 2019; Nov 2021; Nov 2022; Nov 2023; Nov 2024,Nov 2020
